ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
25890,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,536500,3.875,0.2743,631.06,360.0,not_neg,not_int,not_lpsm,678000.0,sb,pr,home,1U,6000.0,CRIF,715,CIB,35-44,not_inst,79.12979351,south,direct,0,48.0
25891,2019,,Joint,nopre,type1,p1,l1,nopc,nob/c,676500,4.375,0.2606,0.0,360.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1U,12420.0,CIB,863,EXP,35-44,not_inst,89.24802111,North,direct,0,24.0
25892,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,446500,4.125,0.1297,5512.38,360.0,not_neg,not_int,not_lpsm,518000.0,sb,pr,home,1U,5820.0,CRIF,882,EXP,35-44,not_inst,86.1969112,North,direct,0,48.0
25893,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,476500,2.99,0.1579,11955.68,180.0,not_neg,not_int,not_lpsm,998000.0,sb,pr,home,1U,9000.0,CRIF,556,EXP,45-54,to_inst,47.74549098,North,direct,0,47.0
25894,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,206500,4.75,0.9545,0.0,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,4860.0,CRIF,626,EXP,35-44,to_inst,80.03875969,south,direct,0,49.0
25895,2019,ncf,Joint,nopre,type3,p4,l1,nopc,nob/c,516500,,,,360.0,neg_amm,not_int,not_lpsm,508000.0,sb,pr,home,1U,,CRIF,525,EXP,55-64,not_inst,101.6732283,North,direct,1,
25896,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,186500,5.5,1.4234,5344.0,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,2880.0,CIB,668,CIB,25-34,to_inst,78.36134454,south,direct,0,43.0
25897,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,276500,4.625,1.4168,8840.0,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,4560.0,CRIF,866,EXP,35-44,to_inst,79.45402299,south,direct,0,48.0
25898,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,86500,3.625,0.6824,850.0,360.0,not_neg,not_int,not_lpsm,108000.0,sb,pr,home,1U,1620.0,CRIF,773,EXP,>74,to_inst,80.09259259,south,direct,0,52.0
25899,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,166500,4.25,0.443,3731.69,360.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,4140.0,CRIF,751,CIB,55-64,to_inst,38.01369863,North,direct,0,43.0
25900,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,136500,3.99,1.1099,3890.58,240.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,2460.0,CIB,863,CIB,45-54,to_inst,68.93939394,south,direct,0,39.0
25901,2019,cf,Female,nopre,type3,p3,l1,nopc,nob/c,366500,,,,360.0,not_neg,not_int,not_lpsm,408000.0,sb,pr,home,4U,2220.0,CIB,688,CIB,45-54,to_inst,89.82843137,North,direct,1,56.0
25902,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,196500,3.625,0.3552,4476.97,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,5520.0,EXP,622,CIB,45-54,to_inst,82.56302521,North,direct,0,27.0
25903,2019,cf,Female,nopre,type1,p2,l1,nopc,nob/c,116500,,,,360.0,neg_amm,not_int,not_lpsm,578000.0,sb,pr,home,1U,1500.0,CIB,725,CIB,65-74,to_inst,20.15570934,North,direct,1,45.0
25904,2019,cf,Male,pre,type2,p1,l1,nopc,b/c,466500,4.75,1.1445,0.0,360.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,2U,8100.0,CRIF,825,EXP,45-54,not_inst,80.70934256,North,direct,0,42.0
25905,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,256500,3.99,0.2011,8714.2,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,7560.0,EXP,525,CIB,55-64,to_inst,78.20121951,south,direct,0,31.0
25906,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,496500,4.125,0.0131,0.0,360.0,not_neg,not_int,not_lpsm,678000.0,sb,pr,home,1U,13440.0,EXP,771,EXP,45-54,not_inst,73.2300885,North,direct,0,31.0
25907,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,416500,3.125,-0.1696,11020.75,360.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1U,6360.0,EXP,679,CIB,45-54,to_inst,72.05882353,south,direct,0,37.0
25908,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,136500,4.375,0.7365,0.0,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,1980.0,CRIF,595,CIB,>74,not_inst,98.91304348,North,direct,0,49.0
25909,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,206500,3.5,-0.118,5000.0,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,6060.0,EXP,765,CIB,45-54,to_inst,62.95731707,North,direct,0,32.0
25910,2019,ncf,Joint,pre,type1,p4,l1,nopc,nob/c,776500,,,,360.0,not_neg,not_int,not_lpsm,1508000.0,sb,ir,home,1U,14760.0,CRIF,709,EXP,45-54,not_inst,51.49204244,south,direct,1,36.0
25911,2019,cf,Sex Not Available,nopre,type1,p2,l1,nopc,nob/c,106500,,,,360.0,not_neg,not_int,not_lpsm,178000.0,sb,ir,home,1U,3060.0,CRIF,597,CIB,55-64,to_inst,59.83146067,south,direct,1,16.0
25912,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,66500,4.25,0.7517,,180.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1U,6780.0,EXP,589,EXP,55-64,to_inst,31.97115385,central,direct,0,30.0
25913,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,216500,3.5,0.8817,5844.18,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,2700.0,CRIF,779,CIB,55-64,to_inst,50.58411215,south,direct,0,38.0
25914,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,326500,4.0,0.0274,4874.08,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,3720.0,EXP,797,CIB,45-54,not_inst,64.27165354,North,direct,0,48.0
25915,2019,cf,Joint,nopre,type1,p4,l2,nopc,nob/c,456500,4.25,0.0837,0.0,360.0,not_neg,not_int,not_lpsm,668000.0,sb,pr,home,1U,4380.0,EXP,748,EXP,45-54,not_inst,68.33832335,south,direct,0,47.0
25916,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,396500,4.75,0.7396,295.0,360.0,not_neg,not_int,not_lpsm,658000.0,sb,ir,home,1U,9600.0,CIB,550,EXP,55-64,to_inst,60.25835866,south,direct,0,36.0
25917,2019,cf,Sex Not Available,nopre,type2,p4,l1,nopc,b/c,446500,3.625,0.7046,0.0,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,,CIB,775,CIB,35-44,to_inst,87.89370079,south,direct,0,
25918,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,256500,4.75,0.7673,4472.57,360.0,neg_amm,not_int,not_lpsm,508000.0,sb,pr,home,1U,3540.0,EXP,654,CIB,55-64,to_inst,50.49212598,south,direct,0,35.0
25919,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,126500,4.5,0.6459,3190.85,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,2520.0,CRIF,768,CIB,55-64,to_inst,35.33519553,south,direct,0,39.0
25920,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,326500,3.25,-0.0621,10631.13,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,5460.0,CRIF,610,CIB,55-64,to_inst,69.76495726,south,direct,0,41.0
25921,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,356500,3.625,-0.0238,,360.0,not_neg,not_int,not_lpsm,818000.0,sb,pr,home,1U,5160.0,CIB,706,EXP,65-74,not_inst,43.58190709,North,direct,0,32.0
25922,2019,cf,Joint,nopre,type3,p1,l1,nopc,nob/c,286500,3.75,-0.1179,0.0,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,4860.0,CRIF,765,EXP,<25,not_inst,99.47916667,North,direct,0,37.0
25923,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,356500,3.125,0.3916,11820.01,180.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,11220.0,CIB,886,EXP,45-54,to_inst,54.17933131,south,direct,0,22.0
25924,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,466500,3.0,-0.54,523.23,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,,CIB,716,CIB,35-44,not_inst,88.35227273,south,direct,0,
25925,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,196500,,,,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,7860.0,EXP,517,CIB,>74,to_inst,65.93959732,south,direct,1,39.0
25926,2019,,Male,nopre,type1,p4,l1,nopc,nob/c,366500,3.875,-0.0565,,360.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1U,3600.0,CRIF,659,CIB,45-54,to_inst,63.4083045,North,direct,0,48.0
25927,2019,cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,686500,4.25,-0.1162,1450.0,360.0,neg_amm,not_int,not_lpsm,688000.0,sb,pr,home,1U,8220.0,CRIF,624,EXP,45-54,to_inst,99.78197674,south,direct,0,50.0
25928,2019,,Male,nopre,type1,p1,l1,nopc,nob/c,156500,,,,360.0,neg_amm,not_int,not_lpsm,168000.0,sb,pr,home,1U,4380.0,CRIF,881,CIB,<25,to_inst,93.1547619,North,direct,1,32.0
25929,2019,cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,266500,,,,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,,CIB,778,CIB,25-34,not_inst,103.2945736,south,direct,1,
25930,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,396500,,,,360.0,not_neg,not_int,lpsm,,sb,pr,home,1U,8640.0,EQUI,652,EXP,>74,to_inst,,North,direct,1,
25931,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,406500,3.625,0.1565,6250.0,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,4560.0,CRIF,864,EXP,>74,to_inst,80.01968504,south,direct,0,40.0
25932,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,336500,4.25,0.5051,3507.74,360.0,not_neg,not_int,not_lpsm,498000.0,sb,pr,home,1U,7020.0,EXP,683,CIB,45-54,to_inst,67.57028112,south,direct,0,31.0
25933,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,316500,3.99,0.3853,5558.56,360.0,not_neg,not_int,not_lpsm,398000.0,sb,pr,home,1U,7200.0,EXP,754,EXP,45-54,to_inst,79.52261307,North,direct,0,46.0
25934,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,446500,4.125,0.1764,0.0,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,7020.0,CIB,579,EXP,35-44,not_inst,95.40598291,North,direct,0,39.0
25935,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,306500,3.99,0.4754,2816.0,360.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,5880.0,CRIF,671,EXP,35-44,to_inst,90.68047337,south,direct,0,48.0
25936,2019,cf,Female,nopre,type2,p1,l1,nopc,b/c,116500,,,,360.0,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,2040.0,EQUI,602,EXP,25-34,to_inst,,North,direct,1,
25937,2019,cf,Sex Not Available,nopre,type2,p4,l1,nopc,b/c,226500,3.75,0.8706,0.0,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,,EXP,560,CIB,45-54,to_inst,84.51492537,south,direct,0,
25938,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,126500,3.99,0.1145,3493.75,360.0,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,3720.0,CRIF,607,EXP,65-74,to_inst,71.06741573,North,direct,0,36.0
